year,type,arrivals,change,bar_start,bar_end,bar_type,spend
2010,actual,5871.0,5871.0,0.0,5871.0,base,24.774
2011,actual,5871.7,0.7,5871.0,5871.7,growth,25.095
2012,actual,6166.5,294.8,5871.7,6166.5,growth,25.945
2013,actual,6481.1,314.6,6166.5,6481.1,growth,26.525
2014,actual,6921.7,440.6,6481.1,6921.7,growth,26.843
2015,actual,7449.2,527.4,6921.7,7449.1,growth,31.385
2016,actual,8268.9,819.7,7449.1,8268.8,growth,33.572
2017,actual,8815.2,546.4,8268.8,8815.2,growth,35.818
2018,actual,9245.6,430.4,8815.2,9245.6,growth,37.913
2019,actual,9465.9,220.3,9245.6,9465.9,growth,38.805
2020,actual,1827.7,-7638.2,9465.9,1827.7,decline,9.639
2021,actual,246.2,-1581.5,1827.7,246.2,decline,1.728
2022,actual,3694.4,3448.1,246.2,3694.3,growth,14.318
2023,actual,7187.4,3493.0,3694.3,7187.3,growth,29.787
2024,actual,8270.9,1083.5,7187.3,8270.8,growth,33.598
2025,forecast,8804.5,533.6,8270.8,8804.4,forecast,37.747
2026,forecast,9265.5,461.0,8804.4,9265.4,forecast,37.533
2027,forecast,9748.1,482.5,9265.4,9747.9,forecast,38.697
2028,forecast,10157.2,409.1,9747.9,10157.0,forecast,39.302
2029,forecast,10522.5,365.3,10157.0,10522.3,forecast,39.753
2030,forecast,10882.6,360.1,10522.3,10882.4,forecast,40.12
