year,type,inbound_arrivals,outbound_returns,intl_spend_real,intl_spend_nominal
2010,actual,5870.954,7055.241,24.774,16.749
2011,actual,5871.69,7765.928,25.095,17.568
2012,actual,6166.499,8205.97,25.945,18.383
2013,actual,6481.102,8709.601,26.525,19.243
2014,actual,6921.744,9139.121,26.843,20.061
2015,actual,7449.176,9420.336,31.385,23.81
2016,actual,8268.854,9969.774,33.572,25.73
2017,actual,8815.25,10535.245,35.818,27.982
2018,actual,9245.633,11061.404,37.913,30.234
2019,actual,9465.894,11308.909,38.805,31.438
2020,actual,1827.717,2832.352,9.639,7.782
2021,actual,246.241,300.845,1.728,1.449
2022,actual,3694.382,5225.635,14.318,12.742
2023,actual,7187.429,9975.229,29.787,28.105
2024,actual,8270.924,11596.0,33.598,32.911
2025,forecast,8804.515,12551.221,37.747,37.747
2026,forecast,9265.517,13178.783,37.533,38.921
2027,forecast,9748.061,13692.755,38.697,41.212
2028,forecast,10157.186,14130.923,39.302,42.904
2029,forecast,10522.523,14512.458,39.753,44.48
2030,forecast,10882.627,14860.757,40.12,46.013
